temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
6,11,"More Than Words, de Gary Cherone (Extreme)",Miquel Fernández,6,6,9,9,12,,19.0,30 (7),0,More Than Words,Gary Cherone (Extreme),,España,Cataluña,Barcelona,M,37,Cine
6,12,"Dream On, de Steven Tyler  (Aerosmith)",Miquel Fernández,9,11,11,8,11,,21.0,39 (10),0,Dream On,Steven Tyler  (Aerosmith),,España,Cataluña,Barcelona,M,37,Cine
6,13,"When I Fall in Love, de Nat King Cole",Miquel Fernández,11,12,9,4,12,,22.0,36 (10),0,When I Fall in Love,Nat King Cole,,España,Cataluña,Barcelona,M,37,Cine
6,14,"Dead Ringer for Love, de Meat Loaf con Ruth Lorenzo como Cher (Trae un amigo)",Miquel Fernández,8,11,8,8,7,,16.0,35 (9),0,Dead Ringer for Love,Meat Loaf con Ruth Lorenzo como Cher (Trae un amigo),Trae un amigo,España,Cataluña,Barcelona,M,37,Cine
6,15,"Love Me, de Elvis Presley",Miquel Fernández,12,11,10,10,12,,23.0,43 (11),0,Love Me,Elvis Presley,,España,Cataluña,Barcelona,M,37,Cine
6,16,"Nel blu dipinto di blu (Volare), de Domenico Modugno",Miquel Fernández,9,11,9,10,8,,17.0,39 (9),0,Nel blu dipinto di blu (Volare),Domenico Modugno,,España,Cataluña,Barcelona,M,37,Cine
6,17,"You Make Me Feel (Mighty Real), de Sylvester",Miquel Fernández,10,11,9,9,10,,19.0,39 (9),0,You Make Me Feel (Mighty Real),Sylvester,,España,Cataluña,Barcelona,M,37,Cine
6,18,"I Believe I Can Fly, de R Kelly",Miquel Fernández,10,11,11,8,12,,23.0,40 (11),0,I Believe I Can Fly,R Kelly,,España,Cataluña,Barcelona,M,37,Cine
6,1,"Sevilla, de Miguel Bosé",Fran Dieli,11,11,12,6,9,,20.0,40 (11),0,Sevilla,Miguel Bosé,,España,Andalucía,Granada,M,37,Cantante
6,2,"Kiss, de Prince",Fran Dieli,12,12,12,7,12,,23.0,43 (11),0,Kiss,Prince,,España,Andalucía,Granada,M,37,Cantante
6,3,"Take me to Church, de Hozier",Fran Dieli,5,8,8,5,10,,15.0,26 (5),0,Take me to Church,Hozier,,España,Andalucía,Granada,M,37,Cantante
6,4,"Crazy, de Cee Lo Green (Gnarls Barkley)",Fran Dieli,7,6,8,10,7,,16.0,31 (9),0,Crazy,Cee Lo Green (Gnarls Barkley),,España,Andalucía,Granada,M,37,Cantante
6,5,"Send My Love (To Your New Lover), de Adele",Fran Dieli,6,8,7,9,7,,14.0,30 (7),0,Send My Love (To Your New Lover),Adele,,España,Andalucía,Granada,M,37,Cantante
6,6,"Por fin, de Pablo Alborán",Fran Dieli,8,10,9,11,12,,22.0,38 (10),0,Por fin,Pablo Alborán,,España,Andalucía,Granada,M,37,Cantante
6,7,"If I'm Lucky, de Jason Derulo",Fran Dieli,7,9,9,9,5,,15.0,34 (10),0,If I'm Lucky,Jason Derulo,,España,Andalucía,Granada,M,37,Cantante
6,8,"La jota de la Dolores, de Imperio Argentina",Fran Dieli,12,12,12,11,11,,23.0,47 (12),0,La jota de la Dolores,Imperio Argentina,,España,Andalucía,Granada,M,37,Cantante
6,9,"Animals, de Adam Levine (Maroon 5)",Fran Dieli,11,10,12,12,11,,23.0,45 (12),0,Animals,Adam Levine (Maroon 5),,España,Andalucía,Granada,M,37,Cantante
6,10,"Take on Me, de Morten Harket (A-Ha)",Fran Dieli,11,11,10,12,11,,22.0,44 (11),0,Take on Me,Morten Harket (A-Ha),,España,Andalucía,Granada,M,37,Cantante
6,11,"Vente pa' ca, de Ricky Martin",Fran Dieli,9,8,6,12,8,,17.0,35 (9),0,Vente pa' ca,Ricky Martin,,España,Andalucía,Granada,M,37,Cantante
6,12,"Sorry y Love Yourself, de Justin Bieber",Fran Dieli,5,6,6,4,5,,10.0,21 (5),0,Sorry y Love Yourself,Justin Bieber,,España,Andalucía,Granada,M,37,Cantante
6,13,"Earned It, de The Weeknd",Fran Dieli,10,11,12,12,6,,18.0,45 (12),0,Earned It,The Weeknd,,España,Andalucía,Granada,M,37,Cantante
6,14,"Aunque tú no lo sepas, de Enrique Urquijo (Enrique Urquijo y Los Problemas)",Fran Dieli,12,10,11,11,11,,22.0,44 (11),0,Aunque tú no lo sepas,Enrique Urquijo (Enrique Urquijo y Los Problemas),,España,Andalucía,Granada,M,37,Cantante
6,15,"Perfect, de Ed Sheeran",Fran Dieli,9,10,11,12,10,,20.0,42 (10),0,Perfect,Ed Sheeran,,España,Andalucía,Granada,M,37,Cantante
6,16,"Dancing in the Rain, de Ruth Lorenzo",Fran Dieli,8,6,7,6,9,,16.0,27 (7),0,Dancing in the Rain,Ruth Lorenzo,,España,Andalucía,Granada,M,37,Cantante
6,17,"Cry me a river, de Justin Timberlake",Fran Dieli,11,12,12,11,12,,24.0,46 (12),0,Cry me a river,Justin Timberlake,,España,Andalucía,Granada,M,37,Cantante
6,18,"Gwendolyne, de Pitingo",Fran Dieli,11,12,12,12,11,,23.0,47 (12),0,Gwendolyne,Pitingo,,España,Andalucía,Granada,M,37,Cantante
6,19,"Only You (And You Alone), de Tony Williams (The Platters)",Fran Dieli,7,6,11,9,12,,21.0,33 (9),0,Only You (And You Alone),Tony Williams (The Platters),,España,Andalucía,Granada,M,37,Cantante
6,1,"When Love Takes Over, de Kelly Rowland",Diana Navarro,8,12,9,9,10,,19.0,38 (9),0,When Love Takes Over,Kelly Rowland,,España,Andalucía,Málaga,F,39,Cantante
6,2,"Parole parole, de Mina con Luis Larrodera como Alberto Lupo (Trae un amigo)",Diana Navarro,11,11,11,11,11,,23.0,44 (12),0,Parole parole,Mina con Luis Larrodera como Alberto Lupo (Trae un amigo),Trae un amigo,España,Andalucía,Málaga,F,39,Cantante
6,3,"Think, de Aretha Franklin",Diana Navarro,12,12,12,11,12,,24.0,47 (12),0,Think,Aretha Franklin,,España,Andalucía,Málaga,F,39,Cantante
6,4,"El 7 de septiembre, de Ana Torroja (Mecano)",Diana Navarro,8,8,9,6,8,,16.0,31 (8),0,El 7 de septiembre,Ana Torroja (Mecano),,España,Andalucía,Málaga,F,39,Cantante
6,5,"Titanium, de Sia",Diana Navarro,7,6,6,6,11,,17.0,25 (6),0,Titanium,Sia,,España,Andalucía,Málaga,F,39,Cantante
6,6,"In your bed, de Blas Cantó (Original y copia)",Diana Navarro,4,4,4,4,7,,11.0,16 (4),0,In your bed,Blas Cantó (Original y copia),Original,España,Andalucía,Málaga,F,39,Cantante
6,7,"Casta Diva, de Maria Callas",Diana Navarro,4,8,10,8,11,,18.0,30 (7),0,Casta Diva,Maria Callas,,España,Andalucía,Málaga,F,39,Cantante
6,8,"Con los años que me quedan, de Gloria Estefan",Diana Navarro,7,7,8,9,10,,18.0,31 (8),0,Con los años que me quedan,Gloria Estefan,,España,Andalucía,Málaga,F,39,Cantante
6,9,"Sueño imposible, de Paloma San Basilio",Diana Navarro,12,11,10,9,10,,20.0,42 (10),0,Sueño imposible,Paloma San Basilio,,España,Andalucía,Málaga,F,39,Cantante
6,10,"Halo, de Beyoncé",Diana Navarro,8,10,8,7,4,,12.0,33 (8),0,Halo,Beyoncé,,España,Andalucía,Málaga,F,39,Cantante
6,11,"Las vespas, de Concha Velasco",Diana Navarro,12,12,12,11,7,,19.0,47 (12),0,Las vespas,Concha Velasco,,España,Andalucía,Málaga,F,39,Cantante
6,12,"Otro amor vendrá, de Lara Fabian",Diana Navarro,10,9,7,10,12,,21.0,36 (9),0,Otro amor vendrá,Lara Fabian,,España,Andalucía,Málaga,F,39,Cantante
6,13,"I love to love, de Tina Charles",Diana Navarro,9,6,10,8,9,,18.0,33 (9),0,I love to love,Tina Charles,,España,Andalucía,Málaga,F,39,Cantante
6,14,"El rosario de mi madre, de María Dolores Pradera",Diana Navarro,9,9,9,9,10,,20.0,36 (10),0,El rosario de mi madre,María Dolores Pradera,,España,Andalucía,Málaga,F,39,Cantante
6,15,"Encrucijada, de Marifé de Triana",Diana Navarro,11,12,12,11,11,,23.0,46 (12),0,Encrucijada,Marifé de Triana,,España,Andalucía,Málaga,F,39,Cantante
