temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
2,8,"Gavilán o paloma, de Pablo Abraira",Javier Herrero,6,5.0,6,5,0,Santiago,0.0,31,9
2,8,"Umbrella, de Rihanna",Arturo Valls,7,6.0,5,4,0,Daniel,0.0,29,7
2,8,"Soy rebelde y Por qué te vas, de Jeanette",María del Monte,4,4.0,4,7,0,Roko,0.0,24,5
2,9,"Euphoria, de Loreen",Roko,12,12.0,10,12,0,Marìa,0.0,73,12
2,9,"Canta y sé feliz, de Peret",María del Monte,10,10.0,12,9,0,Roko,0.0,64,8
2,9,"Bailemos un vals, de José Vélez",Arturo Valls,8,9.0,9,10,0,Santiago,0.0,46,10
2,9,"Marionetas en la cuerda, de Sandie Shaw",Anna Simon,9,7.0,8,8,0,Roko,0.0,38,6
2,9,"Baila el chiki chiki, de Rodolfo Chiquilicuatre",Santiago Segura,5,6.0,6,5,0,Marìa,0.0,27,9
2,9,"Europe's living a celebration, de Rosa López",Daniel Diges,7,8.0,7,6,0,Marìa,0.0,21,7
2,9,"Diva, de Dana International",Ángeles Muñoz,6,5.0,5,7,0,Javier,0.0,20,4
2,9,"Gwendolyne, de Julio Iglesias",Javier Herrero,4,4.0,4,4,0,Roko,0.0,25,5
2,10,"Francisco Alegre, de Juanita Reina",María del Monte,12,12.0,12,12,0,Ángeles,0.0,72,9
2,10,"My baby just cares for me, de Nina Simone",Roko,10,9.0,10,10,0,María,0.0,56,12
2,10,"Pretty woman, de Roy Orbison",Daniel Diges,9,10.0,6,8,0,Arturo,0.0,48,10
2,10,"El baile del gorila, de Melody",Ángeles Muñoz,7,6.0,9,9,0,Roko,0.0,44,8
2,10,"Así me gusta a mí y La tía Enriqueta, de Chimo Bayo",Arturo Valls,4,8.0,7,7,0,María,0.0,35,4
2,10,"Dance Again, de Jennifer Lopez",Anna Simon,6,5.0,4,5,0,María,0.0,32,7
2,10,"Maria Caipirinha, de Carlinhos Brown",Santiago Segura,8,7.0,8,4,0,Anna,0.0,32,5
2,10,"Nada fue un error, de Coti",Javier Herrero,5,4.0,5,6,0,Daniel,0.0,26,6
2,11,"Fiesta, de Raffaella Carrá",Santiago Segura,9,10.0,10,12,0,Roko,0.0,51,0
2,11,"Ni tu ni nadie, de Alaska",Anna Simon,10,12.0,12,10,0,María,0.0,44,0
2,11,"Suerte, de Shakira",Roko,12,9.0,9,9,0,Arturo,0.0,44,0
2,11,"Corazón partío, de Alejandro Sanz",Javier Herrero,4,5.0,6,8,0,Daniel,0.0,33,0
2,11,"Y, ¿si fuera ella?, de Alejandro Sanz",Daniel Diges,7,8.0,4,6,0,Javier,0.0,30,0
2,11,"Loba, de Shakira",Arturo Valls,5,7.0,5,7,0,Javier,0.0,29,0
2,11,"Bailando, de Alaska",María del Monte,8,4.0,7,5,0,Santiago,0.0,29,0
2,11,"Hay que venir al sur, de Raffaella Carrá",Ángeles Muñoz,6,6.0,8,4,0,Santiago,0.0,24,0
2,12,"Luz de luna, de Chavela Vargas",María del Monte,12,12.0,12,12,0,Ángeles,0.0,70,12
2,12,"Violetas imperiales, de Luis Mariano",Daniel Diges,10,8.0,9,9,0,Santiago,0.0,56,10
2,12,"Hola don Pepito, Susanita, Mi familia, Chinito de amor y El auto nuevo, de Fofito (Los Payasos de la Tele)",Santiago Segura,7,9.0,10,8,0,Daniel,0.0,46,7
2,12,"Starman, de David Bowie",Arturo Valls,9,10.0,8,10,0,Javier,0.0,45,8
2,12,"Se me enamora el alma, de Isabel Pantoja",Ángeles Muñoz,5,6.0,6,7,0,María,0.0,39,5
2,12,"Help, ayúdame, de Tony Ronald",Javier Herrero,4,4.0,5,4,0,María,0.0,31,9
2,12,"Call me maybe, de Carly Rae Jepsen",Anna Simon,6,7.0,7,6,0,Daniel,0.0,30,4
2,12,"Starships, de Nicki Minaj",Roko,8,5.0,4,5,0,Ángeles,0.0,28,6
2,13,"Qué será, de José Feliciano",Arturo Valls,12,12.0,8,12,0,María,0.0,68,9
2,13,"Valió la pena, de Marc Anthony",Daniel Diges,10,9.0,10,9,0,Ángeles,0.0,50,7
2,13,"Tenía tanto que darte, de Mai Meneses (Nena Daconte)",Ángeles Muñoz,6,7.0,12,10,0,María,0.0,46,6
2,13,"Purple rain, de Prince",Santiago Segura,9,10.0,9,8,0,Daniel,0.0,46,10
2,13,"Un ramito de violetas, de Manzanita",María del Monte,7,6.0,6,6,0,Arturo,0.0,43,8
2,13,"Love is the only way, de Macaco",Roko,8,8.0,5,5,0,Arturo,0.0,36,5
2,13,"El baile de los pajaritos, de María Jesús y su acordeón",Javier Herrero,4,5.0,4,4,0,Arturo,0.0,29,12
2,13,"La madre de José, de Dani Martín (El Canto del Loco)",Anna Simon,5,4.0,7,7,0,Roko,0.0,27,4
2,14,"One way or another, de Deborah Harry (Blondie)",Anna Simon,12,9.0,12,12,0,Javier,0.0,55,0
2,14,"Ma Baker, Rasputin y Daddy Cool, de Bobby Farrell (Boney M)",Santiago Segura,9,12.0,9,9,0,Anna,0.0,49,0
2,14,"Party rock anthem y Sexy and I know it, de Redfoo (LMFAO)",Arturo Valls,8,10.0,10,10,0,Anna,0.0,38,0
2,14,"Tú me camelas, de Niña Pastori",Daniel Diges,6,6.0,6,6,0,Santiago,0.0,34,0
2,14,"Búscate un hombre que te quiera e Himno del Sevilla, de El Arrebato",María del Monte,10,8.0,8,8,0,Daniel,0.0,34,0
2,14,"Barbie girl, de Lene Nystrøm (Aqua)",Ángeles Muñoz,7,7.0,7,7,0,Daniel,0.0,28,0
2,14,"¿Y cómo es él?, de José Luis Perales",Javier Herrero,5,5.0,5,5,0,Santiago,0.0,25,0
3,1,"Girl on Fire, de Alicia Keys",Edurne,11,12.0,11,12,0,Santi,0.0,56,0
3,1,"Laura no está, de Nek",Xuso Jones,9,11.0,10,11,0,Edurne,0.0,46,0
3,1,"Arrasando, de Thalía",Melody,12,10.0,12,9,0,Florentino,0.0,43,0
3,1,"The best, de Tina Turner",Ángela Carrasco,8,9.0,7,8,0,Santi,0.0,42,0
