,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
6,5,11,"Oye, de Elsa Baeza",Pepa Aniorte,8,7,8,7,30 (7),7,14,
7,5,11,"Que se mueran los feos, de Antonio Miquel Cervero ""Leslie"" (Los Sírex)",David Amor,4,5,4,5,18 (4),6,10,
8,5,11,Sorry y Love Yourself de Justin Bieber,Fran Dieli,5,6,6,4,21 (5),5,10,
9,5,11,"Say It Right, de Nelly Furtado",Lucía Gil,6,4,5,6,21 (6),4,10,
0,5,12,CL,LF,C,AL,Total,,,,,
1,5,12,"When I Fall in Love, de Nat King Cole",Miquel Fernández,11,12,9,4,36 (10),12,22,
2,5,12,"Serenade, de Cristina Llanos (Dover)",Pepa Aniorte,12,10,11,11,44 (11),11,22,
3,5,12,"I love to love, de Tina Charles",Diana Navarro,9,6,10,8,33 (9),9,18,
4,5,12,"Earned It, de The Weeknd",Fran Dieli,10,11,12,12,45 (12),6,18,
5,5,12,"Toda, de Malú",Lucía Gil,5,8,8,10,31 (7),10,17,
6,5,12,"El cielo no entiende, de Jordi Sánchez (OBK)",Raúl Pérez,8,9,7,9,33 (8),8,16,
7,5,12,"Bailaré sobre tu tumba, de Miguel Costas (Siniestro Total)",David Amor,6,5,6,6,23 (5),7,12,
8,5,12,"No sé no sé, de José Sardaña (Rumba Tres)",La Terremoto de Alcorcón,7,7,5,7,26 (6),4,10,
9,5,12,"Fame, de Irene Cara (Fame)",Lucía Jiménez,4,4,4,5,17 (4),5,9,
0,5,13,CL,LF,C,AL,Total,,,,,
1,5,13,"El amor, de Massiel",La Terremoto de Alcorcón,11,12,12,12,47 (12),12,24,
2,5,13,"Aunque tú no lo sepas, de Enrique Urquijo (Enrique Urquijo y Los Problemas)",Fran Dieli,12,10,11,11,44 (11),11,22,
3,5,13,"El rosario de mi madre, de María Dolores Pradera",Diana Navarro,9,9,9,9,36 (10),10,20,
4,5,13,"Breathless, de Andrea Corr (The Corrs)",Lucía Gil,10,8,7,5,30 (7),9,16,
5,5,13,"Historia de un amor, de Diego el Cigala",Raúl Pérez,7,7,10,10,34 (8),8,16,
6,5,13,"Dead Ringer for Love, de Meat Loaf y Cher (Trae un amigo) con Ruth Lorenzo",Miquel Fernández,8,11,8,8,35 (9),7,16,
7,5,13,"Stay, de Rihanna",Lucía Jiménez,5,6,5,7,23 (6),6,12,
8,5,13,"Hotline Bling, de Drake",David Amor,4,4,6,6,20 (5),5,10,
9,5,13,"Ni tú ni yo, de Jennifer López",Pepa Aniorte,6,5,4,4,19 (4),4,8,
0,5,14,CL,LF,C,AL,Total,,,,,
1,5,14,"Love Me, de Elvis Presley",Miquel Fernández,12,11,10,10,43 (11),12,23,
2,5,14,"Encrucijada, de Marifé de Triana",Diana Navarro,11,12,12,11,46 (12),11,23,
3,5,14,"Perfect, de Ed Sheeran",Fran Dieli,9,10,11,12,42 (10),10,20,
4,5,14,"Celos, de Tamara (Original y copia)",Pepa Aniorte,6,9,8,9,32 (8),9,17,
5,5,14,"Gitana, de Shakira",Lucía Gil,10,8,9,7,34 (9),8,17,
6,5,14,"Velaske, yo soi guapa?, de Margarita de Austria y Diego Velázquez (Playground Fire) (Dos en uno)",David Amor,8,7,7,8,30 (7),7,14,
7,5,14,"Time is Running Out, de Matt Bellamy (Muse)",Raúl Pérez,7,6,6,6,25 (6),6,12,
8,5,14,"Estando contigo, de Pepa Flores",Lucía Jiménez,4,4,4,5,17 (4),5,9,
9,5,14,"New Rules, de Dua Lipa",La Terremoto de Alcorcón,5,5,5,4,19 (5),4,9,
0,5,15,CL,LF,C,AL,Total,,,,,
1,5,15,"Bailar pegados, de Sergio Dalma",Raúl Pérez,12,9,12,12,45 (12),11,23,
2,5,15,"Quédate conmigo, de Pastora Soler",Diana Navarro,10,12,10,9,41 (10),12,22,
3,5,15,"Vivo cantando, de Salomé",Pepa Aniorte,11,10,11,11,43 (11),10,21,
4,5,15,"Nel blu dipinto di blu (Volare), de Domenico Modugno",Miquel Fernández,9,11,9,10,39 (9),8,17,
5,5,15,"Dancing in the Rain, de Ruth Lorenzo",Fran Dieli,8,6,7,6,27 (7),9,16,
6,5,15,"La, la, la, de Massiel",La Terremoto de Alcorcón,7,5,8,8,28 (8),7,15,
7,5,15,"Waterloo, de Anni-Frid Lyngstad (ABBA) con Olga Hueso (Agnetha Fältskog)",Lucía Jiménez,6,8,6,4,24 (6),6,12,
8,5,15,"Dime, de Beth",Lucía Gil,4,4,4,5,17 (4),5,9,
9,5,15,"A-ba-ni-bi, de Izhar Cohen",David Amor,5,7,5,7,24 (5),4,9,
0,5,16,CL,LF,C,AL,Total,,,,,
1,5,16,"Cry me a river, de Justin Timberlake",Fran Dieli,11,12,12,11,46 (12),12,24,
2,5,16,"Lo eres todo, de Luz Casal",Pepa Aniorte,8,9,10,12,39 (10),11,21,
3,5,16,"Y sin embargo, de Joaquín Sabina",Raúl Pérez,12,10,11,10,43 (11),9,20,
4,5,16,"You Make Me Feel (Mighty Real), de Sylvester",Miquel Fernández,10,11,9,9,39 (9),10,19,
5,5,16,"Dreams, de Dolores O'Riordan (The Cranberries)",Lucía Gil,6,7,8,8,29 (7),8,15,
6,5,16,"Love Me Like You Do, de Ellie Goulding",Lucía Jiménez,9,8,7,7,31 (8),7,15,
7,5,16,"Inmensidad, de Mónica Naranjo",Diana Navarro,7,6,6,4,23 (6),6,12,
8,5,16,"Échame la culpa, de Luis Fonsi y Demi Lovato (Trae un amigo) con Adriana Abenia",David Amor,4,4,5,6,19 (5),5,10,
9,5,16,"Bailando, de María Isabel García Asensio (Paradisio)",La Terremoto de Alcorcón,5,5,4,5,19 (4),4,8,
0,5,17,CL,LF,C,AL,Total,,,,,
1,5,17,"I Believe I Can Fly, de R Kelly",Miquel Fernández,10,11,11,8,40 (11),12,23,
2,5,17,"Gwendolyne, de Pitingo",Fran Dieli,11,12,12,12,47 (12),11,23,
3,5,17,"The Boy From Ipanema, de Ella Fitzgerald",Diana Navarro,8,9,8,9,34 (9),10,19,
4,5,17,"Tocaré, de Aurora Beltrán (Tahúres Zurdos)",Pepa Aniorte,12,10,10,7,39 (10),9,19,
5,5,17,"Better in Time, de Leona Lewis",Lucía Gil,6,6,9,11,32 (8),8,16,
6,5,17,"Torn, de Natalie Imbruglia",Lucía Jiménez,9,7,7,6,29 (6),7,13,
7,5,17,"Se nos rompió el amor, de Rocío Jurado",La Terremoto de Alcorcón,5,5,5,5,20 (5),6,11,
8,5,17,"Contigo soy feliz, de Nino Bravo",Raúl Pérez,7,8,6,10,31 (7),4,11,
9,5,17,"Arriba y abajo, de Coyote Dax",David Amor,4,4,4,4,16 (4),5,9,
0,5,18,CL,SS,C,AL,Total,,,,,
1,5,18,"Tengo un trato, de Mala Rodríguez",Lucía Jiménez,9,12,12,12,45 (12),10,22,
2,5,18,"Only You (And You Alone), de Tony Williams (The Platters)",Fran Dieli,7,6,11,9,33 (9),12,21,
3,5,18,"Stop, de Sam Brown",Lucía Gil,10,10,10,10,40 (10),11,21,
4,5,18,"Diamonds are Forever, de Shirley Bassey",La Terremoto de Alcorcón,12,11,6,11,40 (11),5,16,
5,5,18,"Anytime You Need a Friend, de Mariah Carey",Diana Navarro,6,7,7,7,27 (6),9,15,
6,5,18,"El beso, de Esperanza Roy",Pepa Aniorte,5,8,8,8,29 (7),7,14,
7,5,18,"Te quiero igual, de Andrés Calamaro",Raúl Pérez,8,9,9,6,32 (8),6,14,
8,5,18,"Do You Remember Rock 'n' Roll Radio?, de Joey Ramone (Ramones)",David Amor,11,5,5,5,26 (5),8,13,
0,6,0,CL,LF,C,ÀL,Total,,,,,
1,6,0,Swish Swish de Katy Perry,Soraya Arnelas,11,11,12,12,46 (12),12,24,
2,6,0,Fuego de Eleni Foureira,Mimi Doblas,10,8,11,9,38 (11),11,22,
3,6,0,Rock DJ de Robbie Williams,Jordi Coll,8,12,9,8,37 (9),10,19,
4,6,0,Blanco y negro de Malú,María Villalón,12,9,6,10,37 (10),9,19,
5,6,0,Chambea de Bad Bunny,Brays Efe,9,7,8,11,35 (8),7,15,
6,6,0,It's now or never de Elvis Presley,Carlos Baute,7,10,10,6,33 (7),8,15,
7,6,0,Dame tu cosita de El Chombo,Anabel Alonso,4,5,5,5,19 (5),6,11,
8,6,0,Pavo real de El Puma,José Corbacho,6,6,7,7,26 (6),4,10,
9,6,0,Have You Ever Seen the Rain? de Rod Stewart,Manu Sánchez,5,4,4,4,17 (4),5,9,
0,6,1,CL,LF,C,ÀL,Total,,,,,
1,6,1,Tú y yo de Thalía,Mimi Doblas,12,11,11,12,46 (12),12,24,
2,6,1,Lo mal que estoy (y lo poco que me quejo) de El Kanka,Manu Sánchez,11,10,12,11,44 (11),11,22,
3,6,1,Jolene de Dolly Parton,Soraya Arnelas,10,9,10,10,39 (10),9,19,
4,6,1,Toy de Netta Barzilai,Brays Efe,6,8,8,8,30 (7),10,17,
5,6,1,Skyfall de Adele,María Villalón,7,12,9,4,32 (9),8,17,
6,6,1,Corazón de Maluma,Carlos Baute,9,7,7,9,32 (8),5,13,
7,6,1,Y yo sigo aquí de Paulina Rubio,Anabel Alonso,5,6,6,7,24 (6),6,12,
8,6,1,Será que no me amas de Luis Miguel,Jordi Coll,4,4,4,6,18 (4),7,11,
9,6,1,God Save the Queen de Johnny Rotten (Sex Pistols),José Corbacho,8,5,5,5,23 (5),4,9,
0,6,2,CL,LF,C,ÀL,Total,,,,,
1,6,2,Sueños inalcanzables de Ángeles Muñoz (Camela),María Villalón,11,12,12,12,47 (12),11,23,
2,6,2,I Like It de Cardi B,Carlos Baute,10,11,9,11,41 (11),12,23,
3,6,2,Cómeme el donut de Jirafa Rey (Glitch Gyals) (Trae un amigo) con Silvia Abril como Lapili,José Corbacho,12,9,8,6,35 (9),9,18,
4,6,2,It's Oh So Quiet de Björk,Mimi Doblas,9,10,11,10,40 (10),8,18,
5,6,2,Veneno de Isabel Pantoja,Soraya Arnelas,5,8,10,9,32 (8),10,18,
6,6,2,Wonderwall de Liam Gallagher (Oasis),Brays Efe,7,7,7,8,29 (7),7,14,
7,6,2,Freedom! '90 de George Michael,Jordi Coll,6,6,6,7,25 (6),6,12,
8,6,2,Mi novio es un zombi de Alaska (Alaska y Dinarama) (Te lo robo - Soraya Arnelas),Anabel Alonso,4,5,4,4,17 (4),5,9,
9,6,2,Vida loca de Pancho Céspedes,Manu Sánchez,8,4,5,5,22 (5),4,9,
0,6,3,CL,LF,C,ÀL,Total,,,,,
1,6,3,I put a spell on you de Annie Lennox,Soraya Arnelas,12,12,11,12,47 (12),12,24,
2,6,3,Sin pijama de Natti Natasha (Trae un amigo) con Ana Guerra como Becky G,Mimi Doblas,9,7,10,11,37 (9),11,20,
3,6,3,El Inspector Gadget de Inspector Gadget,Manu Sánchez,10,11,8,9,38 (10),8,18,
4,6,3,Sweet child o' mine de Axl Rose (Guns N' Roses),Carlos Baute,8,6,7,8,29 (8),9,17,
5,6,3,Aquarius de Raphael,José Corbacho,11,10,12,10,43 (11),5,16,
6,6,3,Nothing's gonna stop me now de Samantha Fox,Anabel Alonso,6,9,5,4,24 (5),10,15,
7,6,3,Un rayo de sol de Agustín Ramírez (Los Diablos),Brays Efe,7,5,9,5,26 (7),7,14,
8,6,3,Sopa fría de Carlos Tarque (M Clan),Jordi Coll,5,8,6,7,26 (6),6,12,
9,6,3,Me enamoré de Shakira,María Villalón,4,4,4,6,18 (4),4,8,
0,6,4,SS,LF,C,ÀL,Total,,,,,
1,6,4,"Cocinero, cocinero de Antonio Molina",María Villalón,12,12,12,12,48 (12),12,24,
2,6,4,Malamente de Rosalía,Soraya Arnelas,10,11,11,11,43 (11),11,22,
3,6,4,El anillo de Jennifer Lopez,Mimi Doblas,11,10,10,9,40 (10),10,20,
4,6,4,Cachito de Nat King Cole,Carlos Baute,9,9,9,7,34 (9),9,18,
5,6,4,Hung Up de Madonna,Jordi Coll,8,8,7,8,31 (8),8,16,
6,6,4,Ese hombre de Rocío Jurado,Anabel Alonso,4,7,8,10,29 (7),7,14,
7,6,4,U Can't Touch This de MC Hammer,Manu Sánchez,5,6,6,6,23 (6),6,12,
8,6,4,Rock & roll en la plaza del pueblo de Alejo Stivel (Tequila) (Original y copia),José Corbacho,7,5,5,5,22 (5),5,10,
9,6,4,Your song de Rita Ora,Brays Efe,6,4,4,4,18 (4),4,8,
0,6,5,SS,LF,C,ÀL,Total,,,,,
1,6,5,Cinco tres cinco tres cuatro cinco seis de Raffaella Carrà,Anabel Alonso,8,11,12,11,42 (11),12,23,
2,6,5,La flor de la canela de María Dolores Pradera,María Villalón,12,12,11,12,47 (12),10,22,
3,6,5,Beat it de Michael Jackson,Carlos Baute,9,9,6,9,33 (8),11,19,
4,6,5,Sin miedo a nada de Álex Ubago (Trae un amigo) con Melody como Amaia Montero,Manu Sánchez,11,8,9,8,36 (10),8,18,
5,6,5,La quiero a morir de Manzanita,Brays Efe,10,10,8,7,35 (9),7,16,
6,6,5,One Kiss de Dua Lipa,Soraya Arnelas,6,6,10,10,32 (7),9,16,
7,6,5,La cintura de Álvaro Soler (Original y copia),Jordi Coll,5,7,7,6,25 (6),5,11,
8,6,5,American Idiot de Billie Joe Armstrong (Green Day) (Te lo robo - Carlos Baute),Mimi Doblas,7,4,5,5,21 (5),6,11,
9,6,5,La revolución sexual de Guille Milkyway (La Casa Azul),José Corbacho,4,5,4,4,17 (4),4,8,
0,6,6,SS,LF,C,ÀL,Total,,,,,
1,6,6,Super Freak de Rick James,Jordi Coll,11,11,12,12,46 (12),12,24,
2,6,6,Recuérdame y Un poco loco de Miguel Rivera (Coco),Carlos Baute,9,12,11,8,40 (10),11,21,
3,6,6,Friends de Anne-Marie,María Villalón,12,10,10,11,43 (11),10,21,
4,6,6,Dirrty de Christina Aguilera,Mimi Doblas,10,9,9,9,37 (9),9,18,
5,6,6,Mambo tequila de Encarna Salazar (Azúcar Moreno) (Trae un amigo) con Bibiana Fernández como Toñi Salazar,Anabel Alonso,8,7,8,4,27 (7),7,14,
6,6,6,Still Loving You de Klaus Meine (Scorpions),Soraya Arnelas,4,5,6,7,22 (6),8,14,
7,6,6,Ellos las prefieren gordas de Javier Gurruchaga (Orquesta Mondragón) (Te lo robo - José Corbacho),Manu Sánchez,7,8,7,10,32 (8),4,12,
8,6,6,De pata negra de Melody,José Corbacho,6,6,4,6,22 (5),6,11,
9,6,6,Besos en guerra de Juan Pablo Isaza (Morat),Brays Efe,5,4,5,5,19 (4),5,9,
0,6,7,SS,LF,C,ÀL,Total,,,,,
1,6,7,I Try de Macy Gray,Mimi Doblas,10,10,11,9,40 (10),12,22,
2,6,7,Only the lonely de Roy Orbison,Jordi Coll,9,11,10,11,41 (11),11,22,
3,6,7,Where Have You Been de Rihanna,Soraya Arnelas,12,12,12,12,48 (12),10,22,
4,6,7,Eres diferente de Estela Raval (Los Cinco Latinos),Anabel Alonso,11,7,6,10,34 (9),9,18,
5,6,7,Mala mujer de C. Tangana,Brays Efe,7,9,9,8,33 (8),7,15,
6,6,7,Nada que perder de Conchita,María Villalón,8,8,8,7,31 (7),8,15,
7,6,7,La cosa más bella de Eros Ramazzotti,Carlos Baute,6,6,7,5,24 (6),6,12,
8,6,7,Súbeme la radio de Enrique Iglesias,José Corbacho,4,4,4,4,16 (4),5,9,
9,6,7,Ay qué gustito pa mis orejas de Raimundo Amador,Manu Sánchez,5,5,5,6,21 (5),4,9,
0,6,8,CL,LF,C,ÀL,Total,,,,,
1,6,8,Treasure de Bruno Mars,Carlos Baute,10,12,12,11,45 (12),12,24,
2,6,8,Malo de Bebe,Mimi Doblas,11,11,11,12,45 (11),11,22,
3,6,8,Personal Jesus de Dave Gahan (Depeche Mode),Jordi Coll,12,10,10,8,40 (10),10,20,
4,6,8,Una estrella en mi jardín de Mari Trini (Te lo robo - Anabel Alonso),Soraya Arnelas,9,8,9,9,35 (9),9,18,
5,6,8,Symphony  de Zara Larsson,María Villalón,8,9,8,7,32 (8),8,16,
6,6,8,En tu cruz me clavaste de Chenoa,Anabel Alonso,5,5,5,6,21 (6),7,13,
7,6,8,Champú de huevo de Tino Casal,José Corbacho,7,7,7,10,31 (7),5,12,
8,6,8,Mira ven ven de Chayanne,Brays Efe,6,4,6,4,20 (5),6,11,
9,6,8,Esta vez de Cepeda (Original y copia),Manu Sánchez,4,6,4,5,19 (4),4,8,
0,6,9,CL,LF,C,ÀL,Total,,,,,
1,6,9,A la pelota de Dolores Vargas,María Villalón,11,12,12,11,46 (12),12,24,
2,6,9,Demons y Radioactive de Dan Reynolds (Imagine Dragons),Jordi Coll,10,10,11,12,43 (11),11,22,
3,6,9,Young and Beautiful de Lana del Rey,Soraya Arnelas,12,11,9,10,42 (10),10,20,
4,6,9,Me dediqué a perderte de Alejandro Fernández,Manu Sánchez,9,9,6,9,33 (9),8,17,
5,6,9,Pégate de Ricky Martin,Carlos Baute,6,7,10,8,31 (8),7,15,
6,6,9,...Baby One More Time de Britney Spears,Mimi Doblas,5,6,7,5,23 (5),9,14,
7,6,9,Hey! de Julio Iglesias,Brays Efe,7,8,8,7,30 (7),6,13,
8,6,9,Mazinger Z de Mazinger Z,José Corbacho,8,5,5,6,24 (6),5,11,
9,6,9,Pobre secretaria de Daniela Romo,Anabel Alonso,4,4,4,4,16 (4),4,8,
0,6,10,CL,LF,C,ÀL,Total,,,,,
1,6,10,Love Is a Losing Game de Amy Winehouse,Mimi Doblas,11,11,12,12,46 (12),12,24,
2,6,10,Fever y Disco Inferno de Tina Turner,José Corbacho,12,12,10,11,45 (11),11,22,
3,6,10,Ladies choice de Zac Efron (Hairspray),Carlos Baute,8,9,11,9,37 (10),10,20,
4,6,10,Nadie me ama de Sara Montiel,Brays Efe,10,8,7,10,35 (9),8,17,
5,6,10,Él no soy yo de Blas Cantó (Original y Copia),María Villalón,7,7,8,6,28 (7),9,16,
6,6,10,Get Outta My Way de Kylie Minogue,Soraya Arnelas,9,10,9,7,35 (8),6,14,
7,6,10,Él de  Lucía,Anabel Alonso,6,5,6,8,25 (6),7,13,
8,6,10,Al calor del amor en un bar de Jaime Urrutia (Gabinete Caligari) (Te lo robo - Brays Efe),Jordi Coll,4,6,5,4,19 (5),5,10,
9,6,10,She's a Lady de  Tom Jones,Manu Sánchez,5,4,4,5,18 (4),4,8,
0,6,11,CL,LF,C,ÀL,Total,,,,,
1,6,11,Se me olvidó otra vez de Juan Gabriel (Te lo robo - Manu Sánchez),Carlos Baute,12,10,12,12,46 (12),10,22,
2,6,11,Je veux de Zaz,María Villalón,10,11,10,6,37 (10),11,21,
3,6,11,Gettin' Jiggy Wit It de Will Smith,Jordi Coll,7,8,8,11,34 (8),12,20,
4,6,11,En un mundo nuevo de Karina,Soraya Arnelas,11,12,11,10,44 (11),9,20,
5,6,11,Buttons de Nicole Scherzinger (Pussycat Dolls)  (Trae un amigo) con las bailarinas de Lola Indigo,Mimi Doblas,9,9,9,9,36 (9),8,17,
6,6,11,Dame otra oportunidad y Cántame de María del Monte,Brays Efe,6,7,6,7,26 (7),7,14,
7,6,11,Yé Ké Yé Ké de Mory Kanté,Anabel Alonso,8,6,5,5,24 (5),6,11,
8,6,11,Mi Salamanca de Rafael Farina,José Corbacho,5,5,7,8,25 (6),5,11,
9,6,11,Angelito de Carlos Baute,Manu Sánchez,4,4,4,4,16 (4),4,8,
0,6,12,CL,LF,C,ÀL,Total,,,,,
1,6,12,Endless Love de Lionel Richie (Trae un amigo) con Ruth Lorenzo como Diana Ross,Carlos Baute,12,12,12,12,48 (12),12,24,
2,6,12,Down de Junior,Mimi Doblas,10,6,10,11,37 (10),10,20,
3,6,12,Sunday Girl de Deborah Harry (Blondie),Soraya Arnelas,11,11,9,8,39 (11),9,20,
4,6,12,El sitio de mi recreo de Antonio Vega,Jordi Coll,8,10,8,7,33 (8),11,19,
5,6,12,Lose Yourself de Eminem,Brays Efe,7,9,7,9,32 (7),8,15,
6,6,12,Hasta el amanecer de Nicky Jam,María Villalón,6,7,11,10,34 (9),6,15,
7,6,12,Lady Veneno de Massiel,Anabel Alonso,9,8,6,6,29 (6),7,13,
8,6,12,This is love de Will.i.am (Trae un amigo) con Lucía Gil como Eva Simons,José Corbacho,5,5,5,5,20 (5),4,9,
9,6,12,Yo debí enamorarme de tu madre de Bertín Osborne,Manu Sánchez,4,4,4,4,16 (4),5,9,
0,6,13,CL,LF,C,ÀL,Total,,,,,
1,6,13,Puttin' on the Ritz de Fred Astaire,Carlos Baute,8,11,11,10,40 (10),12,22,
2,6,13,Song 2 de Damon Albarn (Blur),Jordi Coll,12,12,12,12,48 (12),8,20,
3,6,13,Queen of the night de Whitney Houston,Soraya Arnelas,10,9,10,9,38 (9),11,20,
4,6,13,Celoso de Lele Pons,María Villalón,7,8,7,8,30 (7),10,17,
5,6,13,Diamonds are a girl's best friend de Nicole Kidman (Moulin Rouge!),Mimi Doblas,9,7,9,7,32 (8),9,17,
6,6,13,"Hello, Dolly! y Rock Rockefeller de José Luis Moreno y Rockefeller",Brays Efe,11,10,8,11,40 (11),4,15,
7,6,13,La Llorona de Chavela Vargas,Manu Sánchez,6,6,6,6,24 (6),7,13,
8,6,13,Cabecita loca de Conchita Bautista,Anabel Alonso,4,4,5,4,17 (4),6,10,
9,6,13,Así me gusta a mí de Azuquita,José Corbacho,5,5,4,5,19 (5),5,10,
0,7,0,CL,LF,C,ÀL,Total,,,,,
1,7,0,Soldi de Mahmood,Jorge González,11,12,12,11,46 (12),12,24,
2,7,0,Desátame de Mónica Naranjo,Cristina Ramos,12,11,11,8,42 (11),10,21,
3,7,0,Bad Guy de Billie Eilish,María Isabel,10,8,9,9,36 (9),11,20,
4,7,0,I only want to be with you de Dusty Springfield,Nerea Rodríguez,8,9,10,10,37 (10),9,19,
5,7,0,Que te quería de Natalia Jiménez (La Quinta Estación),Rocío Madrid,6,7,7,6,26 (6),8,14,
6,7,0,Contando lunares de Don Patricio y Cruz Cafuné,Gemeliers,9,10,8,5,32 (8),6,14,
7,7,0,Con calma de Daddy Yankee,El Monaguillo,7,6,6,4,23 (5),7,12,
8,7,0,"Mamá, dame cien pesetas de Raffaella Carrà",Mario Vaquerizo,5,5,5,12,27 (7),5,12,
9,7,0,True Blue de Madonna,Belinda Washington,4,4,4,7,19 (4),4,8,
0,7,1,CL,LF,C,ÀL,Total,,,,,
1,7,1,Dos hombres y un destino de David Bustamante y Àlex Casademunt,Gemeliers,12,12,12,11,47 (12),12,24,
2,7,1,God Is a Woman de Ariana Grande,Nerea Rodríguez,11,8,11,12,42 (11),9,20,
3,7,1,En el último minuto de Miguel Poveda,Jorge González,6,11,10,4,31 (8),11,19,
4,7,1,Eres mia de Romeo Santos,María Isabel,9,9,8,9,35 (9),8,17,
5,7,1,I Was Made for Loving' You de Paul Stanley (Kiss),Mario Vaquerizo,4,6,5,10,25 (6),10,16,
6,7,1,Ahora estoy mejor de Isa P,Belinda Washington,10,10,9,8,37 (10),6,16,
7,7,1,Let's get Loud de Jennifer Lopez,Cristina Ramos,5,4,6,5,20 (4),7,11,
8,7,1,Echo de menos de Kiko Veneno,El Monaguillo,8,7,7,6,28 (7),4,11,
9,7,1,Trébole de Rocío Dúrcal,Rocío Madrid,7,5,4,7,23 (5),5,10,
0,7,2,CL,LF,C,ÀL,Total,,,,,
1,7,2,Hot Stuff de Donna Summer,Cristina Ramos,11,12,12,12,47 (12),11,23,
2,7,2,Mariana mambo de Chayanne,Jorge González,9,11,10,11,41 (11),10,21,
3,7,2,Summer nights de John Travolta con Eva Soriano como Olivia Newton-John (Te lo robo - Gemeliers),Mario Vaquerizo,10,8,5,9,32 (8),12,20,
4,7,2,Nada sale mal de Aitana Ocaña,Rocío Madrid,12,7,9,8,36 (10),9,19,
5,7,2,Todas las flores de Soledad Giménez (Presuntos Implicados),Nerea Rodríguez,7,9,8,10,34 (9),7,16,
6,7,2,Mayores de Bad Bunny y Becky G,Gemeliers,5,10,11,6,32 (7),6,13,
7,7,2,Así fue de Isabel Pantoja,María Isabel,6,4,6,5,21 (5),8,13,
8,7,2,Because the Night de Patti Smith,Belinda Washington,8,6,7,7,28 (6),5,11,
9,7,2,"Don't Worry, Be Happy de Bobby McFerrin",El Monaguillo,4,5,4,4,17 (4),4,8,
0,7,3,CL,LF,C,ÀL,Total,,,,,
1,7,3,Inmortal de Leire Martínez (La Oreja de Van Gogh),María Isabel,12,10,12,12,46 (12),12,24,
2,7,3,No de Shakira (Te lo robo - Rocío Madrid),Cristina Ramos,11,11,11,10,43 (11),9,20,
3,7,3,I Don't Care de Ed Sheeran y Justin Bieber,Gemeliers,8,12,10,6,36 (9),10,19,
4,7,3,La mandanga de El Fary,Rocío Madrid,7,7,7,7,28 (7),11,18,
5,7,3,Lush Life de Zara Larsson,Nerea Rodríguez,10,8,9,11,38 (10),8,18,
6,7,3,"Relax, Take It Easy de Mika",Jorge González,9,9,8,9,35 (8),6,14,
7,7,3,Fotonovela de Iván,Mario Vaquerizo,6,6,6,8,26 (6),7,13,
8,7,3,Vamos muy bien de Fortu Sánchez (Obús),El Monaguillo,4,4,5,4,17 (4),5,9,
9,7,3,You Gotta Be de Des'ree,Belinda Washington,5,5,4,5,19 (5),4,9,
