,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
4,1,14,"Great balls of fire, de Jerry Lee Lewis",Santiago Segura,Eliminado / 5.º Clasificado,,,,,,,
5,1,14,"Eres un enfermo, de Vicky Bodega (Las Supremas de Móstoles)",Anna Simon,,,,,,,,
6,1,14,"Eres un enfermo, de Luisi Bodega (Las Supremas de Móstoles)",Ángeles Muñoz,,,,,,,,
7,1,14,"La de la mochila azul, de Pedrito Fernández",Javier Herrero,,,,,,,,
0,2,0,"Girl on Fire, de Alicia Keys",Edurne,56,11,12,11,12,Santi,,
1,2,0,"Laura no está, de Nek",Xuso Jones,46,9,11,10,11,Edurne,,
2,2,0,"Arrasando, de Thalía",Melody,43,12,10,12,9,Florentino,,
3,2,0,"The best, de Tina Turner",Ángela Carrasco,42,8,9,7,8,Santi,,
4,2,0,"No controles, de Vicky Larraz (Olé Olé)",Llum Barrera,36,10,7,9,10,Ángela,,
5,2,0,"Veo, veo, de Teresa Rabal",Santi Rodríguez,35,6,6,8,5,Xuso,,
6,2,0,"Me encanta, de Mario Vaquerizo (Nancys Rubias)",Florentino Fernández,30,7,5,6,7,Los Chunguitos,,
7,2,0,"Sex Bomb, de Tom Jones",José Manuel Soto,23,5,8,4,6,Edurne,,
8,2,0,"La raja de tu falda, de Estopa",Los Chunguitos,22,4,4,5,4,Ángela,,
0,2,1,"Paco, Paco, Paco, de Encarnita Polo",Llum Barrera,61,11,12,12,11,Florentino,,
1,2,1,"Aprendiz, de Malú",Melody,45,12,10,11,12,Los Chunguitos,,
2,2,1,"Por ti volaré, de Andrea Bocelli",Florentino Fernández,41,6,8,10,7,Llum,,
3,2,1,"Sweet child o' mine, de Axl Rose",Edurne,39,10,11,8,10,Angela,,
4,2,1,"La gata bajo la lluvia, de Rocio Dúrcal",Angela Carrasco,36,7,9,6,9,Los Chunguitos,,
5,2,1,"Resistiré, de Dúo Dinámico",Los Chunguitos,32,4,4,4,5,Florentino,,
6,2,1,"I know you want me, de Pitbull",Santi Rodríguez,30,9,6,9,6,Llum,,
7,2,1,"El emigrante, de Juanito Valderrama",José Manuel Soto,25,5,5,7,8,Los Chunguitos,,
8,2,1,"Locked out of heaven, de Bruno Mars",Xuso Jones,24,8,7,5,4,Llum,,
0,2,2,"Holding out for a hero, de Bonnie Tyler",Melody,71,12,11,12,11,José Manuel,,
1,2,2,"Devuélveme a mi chica, de David Summers (Hombres G)",Xuso Jones,48,10,10,11,12,Melody,,
2,2,2,"El ritmo del garaje, de Loquillo",Santi Rodríguez,39,11,8,10,10,Melody,,
3,2,2,"¡Chas! y aparezco a tu lado, de Christina Rosenvinge (Álex y Christina)",Llum Barrera,36,9,9,9,9,Melody,,
4,2,2,"There Must Be an Angel (Playing with My Heart), de Annie Lennox (Eurythmics)",Edurne,36,8,12,8,8,Xuso,,
5,2,2,"Santa Lucía, de Miguel Ríos",José Manuel Soto,29,5,5,5,4,Ángela,,
6,2,2,"Simply Irresistible, de Robert Palmer",Florentino Fernández,28,7,7,7,7,José Manuel,,
7,2,2,"A esa, de Pimpinela",Los Chunguitos,24,6,6,6,6,Melody,,
8,2,2,"Si tú eres mi hombre y yo tu mujer, de Jennifer Rush",Ángela Carrasco,22,4,4,4,5,Melody,,
0,2,3,"El manisero, de Antonio Machín",Ángela Carrasco,65,12,11,11,11,Xuso,,
1,2,3,"Let me entertain you, de Robbie Williams",Xuso Jones,50,10,8,12,10,Santi,,
2,2,3,Agradecido de Rosendo,Florentino Fernández,39,7,9,6,12,Ángela,,
3,2,3,"I dreamed a dream, de Susan Boyle",Llum Barrera,37,9,12,10,6,Xuso,,
4,2,3,"Firework, de Katy Perry",Melody,37,11,10,8,8,Ángela,,
5,2,3,"Sin ti no soy nada, de Eva Amaral (Amaral)",Edurne,33,8,7,9,9,Florentino,,
6,2,3,"Mi limón, mi limonero, de Henry Stephen",Santi Rodríguez,31,6,6,7,7,Ángela,,
7,2,3,"Te he echado de menos, de Pablo Alborán",José Manuel Soto,25,5,5,5,5,Ángela,,
8,2,3,"Bandido, de Azúcar Moreno",Los Chunguitos,16,4,4,4,4,José Manuel,,
0,2,4,"El chow chow y Que güeno que estoy, de El Sevilla (Mojinos Escozíos)",Florentino Fernández,61,11,7,12,11,Los Chunguitos,,
